trip_id	stop_id	stop_sequence	arrival_time	departure_time
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:462992	11	19:10:00	19:10:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:22136	12	19:11:00	19:11:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:22145	13	19:12:00	19:12:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:463306	14	19:14:00	19:14:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:463161	15	19:15:00	19:15:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:463158	16	19:16:00	19:16:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:463208	17	19:17:00	19:17:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:22147	18	19:18:00	19:18:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:22142	19	19:19:00	19:19:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:22134	20	19:20:00	19:20:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:22153	21	19:22:00	19:22:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:463022	22	19:23:00	19:23:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:463183	23	19:24:00	19:24:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:463093	24	19:26:00	19:26:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:22152	25	19:27:00	19:27:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:22132	26	19:28:00	19:28:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:463310	27	19:29:00	19:29:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_260	IDFM:22141	28	19:31:00	19:31:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:483279	0	18:53:00	18:53:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:483277	1	18:55:00	18:55:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:463222	2	18:57:00	18:57:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:463092	3	18:59:00	18:59:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:463118	4	19:00:00	19:00:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:463242	5	19:01:00	19:01:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:22151	6	19:02:00	19:02:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:463291	7	19:03:00	19:03:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:22135	8	19:04:00	19:04:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:462996	9	19:05:00	19:05:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:463308	10	19:07:00	19:07:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:462992	11	19:08:00	19:08:00
IDFM:RATP:107752-C01374-COU_RATP_5082722_2701033_259	IDFM:22136	12	19:09:00	19:09:00
