route_id	stop_id	stop_name	stop_lon	stop_lat	OperatorName	Nom_commune	Code_insee
IDFM:C01376	IDFM:463005	Bir-Hakeim	2.2894007376345997	48.85392536837598	RATP	Paris	75056
IDFM:C01376	IDFM:463186	Glacière	2.343438236678704	48.831115947616446	RATP	Paris	75056
IDFM:C01376	IDFM:463127	Bel-Air	2.400867131995259	48.84142733223358	RATP	Paris	75056
IDFM:C01371	IDFM:22085	Concorde	2.3228909937191604	48.866472156532026	RATP	Paris	75056
IDFM:C01371	IDFM:22081	Louvre - Rivoli	2.3409026134809903	48.86078090878698	RATP	Paris	75056
IDFM:C01371	IDFM:463080	Hôtel de Ville	2.3520676701391	48.85735240518587	RATP	Paris	75056
IDFM:C01374	IDFM:22130	Barbès - Rochechouart	2.349629927853002	48.883402060486226	RATP	Paris	75056
IDFM:C01374	IDFM:22149	Gare du Nord	2.356768884572096	48.879510553130615	RATP	Paris	75056
IDFM:C01374	IDFM:463171	Etienne Marcel	2.3489761968791085	48.86370301202431	RATP	Paris	75056
IDFM:C01374	IDFM:22137	Saint-Michel	2.343964657062377	48.85358493521485	RATP	Paris	75056
IDFM:C01374	IDFM:26602	Mairie de Montrouge	2.319523835754741	48.818471900073675	RATP	Montrouge	92049
IDFM:C01374	IDFM:483313	Barbara	2.3174174096489284	48.8097987811254	RATP	Bagneux	92007
IDFM:C01374	IDFM:463092	Porte d'Orléans	2.325623760353114	48.823394602620716	RATP	Paris	75056
IDFM:C01376	IDFM:22175	Corvisart	2.350611225926166	48.82986001331238	RATP	Paris	75056
IDFM:C01376	IDFM:22155	Raspail	2.330549660589195	48.83908487281128	RATP	Paris	75056
IDFM:C01376	IDFM:22172	Edgar Quinet	2.3253749636089105	48.84098044632817	RATP	Paris	75056
IDFM:C01376	IDFM:463314	Sèvres-Lecourbe	2.309529610430393	48.84564768265073	RATP	Paris	75056
IDFM:C01376	IDFM:463102	Kléber	2.2933259179892325	48.871301612039105	RATP	Paris	75056
IDFM:C01376	IDFM:463042	Charles de Gaulle - Etoile	2.2947520493673434	48.87371127132366	RATP	Paris	75056
IDFM:C01376	IDFM:22156	Montparnasse Bienvenue	2.321273396249205	48.84205447194666	RATP	Paris	75056
IDFM:C01376	IDFM:463028	Nation	2.3957883190257903	48.84789064769285	RATP	Paris	75056
