route_id	trip_id	trip_headsign
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701033_401	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701033_400	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701033_399	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701033_398	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701033_397	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701033_396	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701033_395	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701033_394	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701033_411	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701033_364	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701033_363	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701033_362	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701033_361	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701033_360	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701033_358	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701033_357	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701033_356	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701033_365	Porte de Clignancourt
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_437	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_440	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_438	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_436	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_435	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_434	Bagneux - Lucie Aubrac
IDFM:C01374	IDFM:RATP:107752-C01374-COU_RATP_5082721_2701031_433	Bagneux - Lucie Aubrac
