stop_id	stop_name	parent_station
IDFM:monomodalStopPlace:47960	Thieux - Nantouillet	IDFM:69196
IDFM:monomodalStopPlace:411492	Dreux	IDFM:411493
IDFM:monomodalStopPlace:43154	Maisons-Alfort - Alfortville	IDFM:73625
IDFM:monomodalStopPlace:58955	Dordives	IDFM:74077
IDFM:monomodalStopPlace:47669	Lieusaint - Moissy	IDFM:62412
IDFM:monomodalStopPlace:45761	Moulin Galant	IDFM:60084
IDFM:monomodalStopPlace:46884	Mareil-sur-Mauldre	IDFM:64572
IDFM:monomodalStopPlace:47921	Orgerus - Béhoust	IDFM:64175
IDFM:monomodalStopPlace:473506	Louveciennes	IDFM:64341
IDFM:monomodalStopPlace:43172	Neuilly-Plaisance	IDFM:73190
IDFM:monomodalStopPlace:47915	Achères Grand Cormier	IDFM:65190
IDFM:monomodalStopPlace:43118	Courbevoie	IDFM:73614
IDFM:monomodalStopPlace:43124	Fontaine Michalon	IDFM:69647
IDFM:monomodalStopPlace:43189	Sannois	IDFM:65441
IDFM:monomodalStopPlace:411495	Marchezais - Broué	IDFM:411496
IDFM:monomodalStopPlace:44602	Versailles Rive Droite	IDFM:64021
IDFM:monomodalStopPlace:47582	Méry-sur-Oise	IDFM:66934
IDFM:monomodalStopPlace:411342	Liancourt-Saint-Pierre	IDFM:411343
IDFM:monomodalStopPlace:46731	Compans	IDFM:69136
IDFM:monomodalStopPlace:46552	Nogent - Le Perreux	IDFM:71609
IDFM:monomodalStopPlace:47095	Dourdan la Forêt	IDFM:59843
IDFM:monomodalStopPlace:47482	Nanteuil - Saâcy	IDFM:69072
IDFM:monomodalStopPlace:58498	Rosa Parks	IDFM:73798
IDFM:monomodalStopPlace:47884	Fontenay-le-Fleury	IDFM:63999
IDFM:monomodalStopPlace:45453	Boulainvilliers	IDFM:71229
IDFM:monomodalStopPlace:43224	Vincennes	IDFM:71651
IDFM:monomodalStopPlace:43193	Sevran Beaudottes	IDFM:73491
IDFM:monomodalStopPlace:43229	Les Essarts-le-Roi	IDFM:63240
IDFM:monomodalStopPlace:47954	Saint-Nom-la-Bretèche Forêt de Marly	IDFM:64382
IDFM:monomodalStopPlace:42356	Rosny Bois Perrier	IDFM:426280
IDFM:monomodalStopPlace:43247	Marles-en-Brie	IDFM:67604
IDFM:monomodalStopPlace:43069	Asnières-sur-Seine	IDFM:72132
IDFM:monomodalStopPlace:47790	Bougival	IDFM:64301
IDFM:monomodalStopPlace:43081	Étréchy	IDFM:59678
IDFM:monomodalStopPlace:411421	Orry-la-Ville - Coye	IDFM:411422
IDFM:monomodalStopPlace:51238	Bois-Colombes	IDFM:72179
IDFM:monomodalStopPlace:47877	Rosny-sous-Bois	IDFM:71935
IDFM:monomodalStopPlace:47522	Villaines	IDFM:67072
IDFM:monomodalStopPlace:411326	Précy-sur-Oise	IDFM:411327
IDFM:monomodalStopPlace:43159	Marolles-en-Hurepoix	IDFM:59948
IDFM:monomodalStopPlace:43101	Bry-sur-Marne	IDFM:73166
