route_id	trip_headsign	trip_id
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_224
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_225
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_226
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_228
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_229
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_230
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_231
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_232
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_234
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_235
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_236
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_238
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_239
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_240
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_241
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_242
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_243
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_244
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_245
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_246
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_247
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_248
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_249
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_250
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_251
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_287
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_307
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_327
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_347
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_358
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_363
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_373
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_378
IDFM:C01371	La Défense (Grande Arche)	IDFM:RATP:107769-C01371-COU_RATP_4864461_1078871_37
